SRR,contig_name,orf_name,ref_name,identity_score,gap_openings,N/orf_len,M,N,aln_len,orf_len,ref_len
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_001728.1_rdrp_orf1_[Odontoglossum_ringspot_virus],0.5826330532212884,12,0.9794238683127572,298,714,1127,729,1112
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_009642.1_rdrp_orf1_[Bell_pepper_mottle_virus],0.7713498622589532,4,0.9958847736625515,166,726,1119,729,1116
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_040685.2_rdrp_orf1_[Opuntia_virus_2],0.39518413597733715,11,0.9684499314128944,427,706,1123,729,1100
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_016519.1_rdrp_orf1_[Clitoria_yellow_mottle_virus],0.41534008683068013,19,0.9478737997256516,404,691,1171,729,1133
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_001556.1_rdrp_orf1_[Tobacco_mild_green_mosaic_virus],0.6190476190476191,10,0.9794238683127572,272,714,1126,729,1111
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_028478.1_rdrp_orf1_[Tomato_brown_rugose_fruit_virus],0.7865013774104683,6,0.9958847736625515,155,726,1119,729,1116
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_026816.1_rdrp_orf1_[Plumeria_mosaic_virus],0.4131386861313868,22,0.9396433470507545,402,685,1196,729,1152
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_025381.1_rdrp_orf1_[Hibiscus_latent_Fort_Pierce_virus],0.39300699300699304,14,0.9807956104252401,434,715,1152,729,1138
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_008310.2_rdrp_orf1_[Hibiscus_latent_Singapore_virus],0.4331476323119777,18,0.9849108367626886,407,718,1145,729,1134
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_022801.1_rdrp_orf1_[Yellow_tailflower_mild_mottle_virus],0.6248275862068966,9,0.9945130315500685,272,725,1123,729,1119
ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733,NODE_3072_length_2188_cov_2.218940_ERR1356733_3,NC_022230.1_rdrp_orf1_[Tomato_mottle_mosaic_virus],0.778236914600551,4,0.9958847736625515,161,726,1119,729,1116
